News,Label
Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower! â€“ Collective EvolutionGardening Business News UK | Gardening Business News UK,FAKE
US abstains from UN vote calling for end to Cuban embargo,FAKE
Young Turks Finds Out Why Trump Is About To Lose Utah For Republicans For First Time In Decades (VIDEO),FAKE
Comment on Mayor de Blasio claims hot dog carts are causing global warming by Dr. Eowyn,FAKE
Momentum to bar Syrian refugees slows,REAL
New evidence that the legal immigration system discriminates against Latin Americans,REAL
"America Might Not Deserve Trump, But Dems and Hillary Deserved To Lose",FAKE
Media turn blind eye to Hillary Clintonâ€™s glaring mistakes,REAL
State Department admits to deliberately cutting briefing footage on Iran deal,REAL
"U.S. Economy Added 271,000 Jobs In October, Beating Expectations",REAL
"Hillary Clinton narrowly wins Kentucky, a state Bernie Sanders needed by huge margins",REAL
"No, it's not 'World War 3'",REAL
49 killed in shooting at Florida nightclub in possible act of Islamic terror,REAL
Just Another Day In the Life of the Clinton Crime Family,FAKE
Muslims regularly use â€œInshallahâ€ (â€œGod Willingâ€ in Arabic) and nobody calls it â€˜Christophobicâ€™ hate speechâ€¦so why is â€œDeus Vultâ€ (â€œGod Willingâ€ in Latin) graffiti being called â€˜Islamophobicâ€™ Crusader hate speech?,FAKE
"Hillary Clinton, FBI and the Real November Surprise     : Information",FAKE
The Benghazi bust: Trey Gowdy and his GOP colleagues embarrassed themselves,REAL
"Obama seeks global climate pact in Paris, amid resistance at home",REAL
"2 deaths possibly linked to 'superbug' at UCLA hospital after 7 infected, 179 exposed",REAL
Breaking: Ivanka Trump Makes Tragic Announcement Both Donald Trump and Supporters Are Shocked (Video) | Prophecy,FAKE
GOP Senator Silences the Entire Room With Remark About War Hero Opponent's Heritage at Debate,FAKE
2:00PM Election Day Water Cooler 11/8/2016,FAKE
News: A Somber Moment: Cubs Fans All Over The World Are Still Too Sad About Princess Diana To Celebrate The Cubsâ€™ World Series,FAKE
Clinton media campaign follows BuzzFeed model,REAL
Your Facebook Page Could Land You In a FEMA Camp,FAKE
Watching These 55 ISIS Terrorists Get Blown to Smithereens is Sure to Brighten Your Day,FAKE
"Exclusive: More than 100 lawsuits, disputes over taxes tied to Trump and his companies",REAL
Your dog probably has better healthcare than you do,FAKE
Get Ready For Civil Unrest: Survey Finds That Most Americans Are Concerned About Election Violence,FAKE
Historic firsts fill evening at Democratic National Convention,REAL
Retired Bishop Explains Why The Catholic Church Invented Hell [Watch],FAKE
"Cruz camp responds to Rubio Photoshop flap, brushes off criticism",REAL
Will a No-Fly Zone Help the People of Aleppo?,FAKE
"Experts Recommend Breaking Down Crushing Defeats Into Smaller, More Manageable Failures - The Onion - America's Finest News Source",FAKE
"Comment on Score one for the Second Amendment: Pizza Hut worker shoots, kills attempted robber by lynnmccrann",FAKE
War on Drugs Heading in Wrong Direction?,FAKE
"It Begins: Crowds Mass In Major Cities: DC, LA, NYC, Philly, Portland, Moreâ€¦ | Will It Escalate? | â€œ95% Chance Of Widespread Violenceâ€",FAKE
Hillary Fan SLEEPS At Rally! Snoozy Smurf Steals Show! (ABC News) Coconut Creek FLA,FAKE
"Neighbors Smell Smoke At Muslim Home, What They See In Window Is Horrific",FAKE
Ben Carson Throws Support Behind Donald Trump,REAL
The Middle East Crises Trump Inherits Could Still Suck Him in,FAKE
"Clinton and Trump: How they view ISIS, Putin, and US generals",REAL
John Kirby and the US State Department Blatantly Support Terrorists - Henry Kamens,FAKE
"Paul Ryanâ€™s big speaker hangup is reportedly his family. For a male lawmaker, thatâ€™s unusual.",REAL
"McCarthy withdraws from speaker race, vote postponed",REAL
Joe Giambrone on Hollywoodâ€™s Shameless & Underhanded Assault on Political Truth,FAKE
The immigration swamp,REAL
"Blame government, not markets for monopoly",FAKE
'America is already strong': Obama continues Democrats' optimism,REAL
Why the DNC's mysteriously hacked oppo file on Trump is a big yawn,REAL
Hillary Clinton: â€˜No role whatsoever for American soldiers on the groundâ€™ in Iraq,REAL
Donald Trump: The key to his success (Opinion),REAL
"For First Time, Trump Shrinks In Spotlight; Fiorina Steals Show",REAL
Carrot Top To Give Nobel Awards At Drive Thru Window,FAKE
Scott Walker's stealth 2016 strategy,REAL
Gauis Publius: TPP Has Picked Up a Powerful Enemy â€” Black Lives Matter,FAKE
Training French soldiers to supervise Daesh,FAKE
Letâ€™s Make 2016 the Last Endless American Election,REAL
November 8 Is (Finally) Here: An Abridged Election Day Resource Guide,FAKE
Going Back to the Future in 2016?,REAL
A bad night for front-runners and a good night for governors,REAL
How public funding of elections makes politics even more polarized,REAL
Gaming Obamacare,REAL
The Anatomy of Crisis and the Decline of US Empire,FAKE
Uncovered audio: Hillary was â€˜adamantly against illegal immigrantsâ€™,REAL
Obama says world should address â€˜grievancesâ€™ that terrorists exploit,REAL
7 Ways To Prepare For An Economic Crisis,FAKE
"Press must share the blame: The shallow, ratings-obsessed media is as responsible for Trump as the GOP",REAL
"14 Days to Do 14 Things, If Hillaryâ€™s Indicted-Extreme Violence Expected",FAKE
Daesh abducts 1000s near Mosul to use them as human shields: UN,FAKE
Oregon Standoff Leaders Acquitted For Malheur Wildlife Refuge Takeover,FAKE
"Muslims Start Chanting Allah On Plane, Flight Attendant Quickly Shuts Them Up",FAKE
"Netanyahu: Iran A Threat to Israel, the World",REAL
Unprecedented Surge In Election Fraud Incidents From Around The Country,FAKE
Re: DOJ AG Loretta Lynch Advised FBI Director to Keep New Emails from Congress,FAKE
A report said Trump's donations to vets might be shady. His response was predictable.,REAL
How the confidence deficit is impacting the 2016 election,REAL
"Anonymous hacker Deric Lostutter faces 16 years in prison, while Steubenville rapists walk free",FAKE
McCain Pledges to Help Pentagon Fix Scandal Over Excessive Military Bonuses,FAKE
Romney's timely Trump trolling,REAL
Like a â€œConcentration Campâ€ Police Mark DAPL Protesters with Numbers and Lock Them in Dog Kennels,FAKE
You Can't Be Intersectional While at the Same Time Being Elitist and Exclusionary,FAKE
A sharpened debate: Is it ethical to not vote this year for president?,REAL
The World Is About To Witness A Breathtaking Once In A Century Event,FAKE
Forbidden History. Secret Egyptology Exposed!,FAKE
THE AMERICAN PUBLIC CAN NO LONGER DEAL WITH THE LIMITLESS CORRUPTION OF THEIR GOVERNMENT,FAKE
CAN'T TRUST OBAMA! Look At Sick Thing He Just Did To STAB Trump In The Back... * LIBERTY WRITERS NEWS,FAKE
"Ryan so far proves he can 'make the sausage,' but he'll likely be serving a much different House party in 2016",REAL
Attorney general nominee offers careful backing of Obama policies,REAL
The end of white Christian America is nigh: Why the countryâ€™s youth are abandoning religious conservatism,REAL
Can nuclear war break out on the Korean Peninsula?,FAKE
Strong jobs number holds risks for Clinton,REAL
Sanders warns Clinton against moderate as VP,REAL
Hacking Accusations Against Russia Are Sign of Washington's Desperation,FAKE
"Architect Of Paris Attacks Was Killed In Raid, French Authorities Say",REAL
Dr. MacDonald & Dr. Duke Expose the Vicious War on Trump by the Jewish Establishment!,FAKE
Why conservatives refuse to believe Obama is Christian,REAL
Why Donald Trump is beating Fox News -- and GOP rivals,REAL
Election 2016 and the Weaponization of the American Public,FAKE
Obama seeks to calm fears over terrorism ahead of holiday season,REAL
COMICAL: Larry the Cable Guy slams â€˜indefensibleâ€™ hypocrisy from Donna Brazile,FAKE
Hillary Clinton in lead a day before Election Day,FAKE
Democratic debate: Fact-checking the candidates,REAL
Teenage Boy KNOCKS OUT His Classmate For Assaulting Their Female Teacher In The FACE- And Itâ€™s EPIC!,FAKE
Carson takes lead from Trump in new national poll,REAL
"Hillary isn't winning over many pundits, even on the left",REAL
"Meteor, space junk, rocket? Mysterious flash hits Siberia",FAKE
5 takeaways from the Republican debate,REAL
â€˜Why is it the first time Iâ€™m hearing about this?â€™ asks office wanker,FAKE
"BREAKING: New Law Stops Hillary In Her Tracks, She Is Now Officially Ineligible To Run",FAKE
Lawmakers caught in battle between House ethics cops,REAL
"New O'Keefe Video: Clinton Campaign, DNC Coordinated With Organizations To Incite Violence At Trump Events",REAL
"We do not like trampolining, say hedgehogs",FAKE
"Yes, There Is a Clinton Double Standard",REAL
"Libertarian VP Candidate Gives Up, Will Focus on Preventing Trump Presidency",REAL
â€œIâ€™ve Always Been An Admirer Of Donald Trumpâ€ â€“ Taoiseach,FAKE
Now waiting for the results | Opinion - Conservative,FAKE
BrotherJohnF Silver Update: Fake Election,FAKE
"When They Asked Her What She Thinks of Hillary Clinton, They Never Expected Her to Say THIS!",FAKE
'The only other option': Bernie Sanders backers turn to Green party's Jill Stein,REAL
"Trump, Clinton Head Into SC with Fierce Competition on Their Heels",REAL
Which Non-OPEC Producers Can Be Expected To Cut?,FAKE
Trump Team Begins Making List Of Executive Orders To â€˜Erase Obamaâ€™s Presidencyâ€™ On Day One,FAKE
Why Trump is a shocking GOP choice,REAL
What The Trump Skeptics Got Wrong,FAKE
Donald Trump: â€˜We have to take back the heart of our countryâ€™,REAL
Jeb Bush fights lonely battle defending Common Core,REAL
Donald Trump canâ€™t resist blaming Bill Clinton when his own sexism comes up,REAL
Hillary Clinton Jumps the Shark with â€˜Trumpâ€™s Secret Russian Serverâ€™ Conspiracy Theory,FAKE
Will Clintonâ€™s experience be a liability?,REAL
"Obama outlines plan to keep 5,500 troops in Afghanistan",REAL
Biden backers to naysayers: Not so fast,REAL
Clinton Enjoys Post-DNC Bounce - But Will it Last?,REAL
Alabama Prison Officials Retaliate Against Prison Strike Leader By Cutting Water To Cell,FAKE
Re: Texas Police Arrest Trump Voter for Wearing â€œDeplorableâ€ T-Shirt,FAKE
"NGOs should condemn terrorists in Syria, not Russia fighting them â€“ Foreign Ministry",FAKE
Genetically Modified Crops in U.S. Fail to Deliver Expected Yields,FAKE
The Fatal Expense Of American Imperialism,FAKE
Comment on A Group Of Reluctant Men Hold Kittens For The First Time. Hilarity Ensures by para para dinle,FAKE
House yanks first spending bill off the floor,REAL
Donald Trump Pushes Republican Party to Its Breaking Point,REAL
"Trump, Clinton clash in dueling DC speeches",REAL
Hillary Clinton BETRAYED by Her Own Family: â€œWeâ€™re Voting for Trump!â€,FAKE
'NO CAMP! NO CAMP!': Scuffles break out at Hungary train station after police stop migrant train,REAL
Green Partyâ€™s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic [1],FAKE
How a $15 minimum wage went from â€˜extremeâ€™ to enacted,REAL
Will Asia trade deal hurt US workers? Six tough questions answered.,REAL
#BoycottComedianâ€¦ROBERT DENIRO Wanted â€œTo Punch Trump In The Faceâ€â€¦Supports Anti-Trump Riotersâ€¦Now Wants Americans To Support His New Movie [VIDEO],FAKE
Doctor Finds New Life As A Clown More Fulfilling | GomerBlog,FAKE
"City, County Leaders Ask Court To Lift Injunction On Obama Immigration Programs",REAL
BREAKING : Bay of Pigs Veterans Association Endorses Donald Trump â€“ TruthFeed,FAKE
Rigged Election: Hillary & Trump Caught Partying with Kissinger at Jesuit Gala,FAKE
Democrats Clinton and Sanders pounce on Flint water crisis â€” and each other,REAL
Israel: 1984 Everlasting,FAKE
"No, Sanders wouldn't be a better match for Trump",REAL
Georgia Abandons Ukraine's Anti-Russian Obsession - Archil Sikharulidze,FAKE
"Trump Vows To ""Renovate"" the Bill of Rights",FAKE
â€˜People in Europe are full of fearâ€™ over refugee influx,REAL
CNN Breaking News: Trump Tells Supporters To Vote Multiple Times,FAKE
The GOP would unite against Trump at its own peril,REAL
Hillaryâ€™s â€œBig Tentâ€ is Obamaâ€™s â€œGrand Bargainâ€ on Steroids,FAKE
Kasich bows out. Did he do 'the right thing?',REAL
October 28: Daily Contrarian Reads,FAKE
"How Western Media Teleported a Child 'Victim' from Homs to Aleppo (PHOTOS, VIDEO)",FAKE
The Sad Truth About Melania Trumpâ€™s Plagiarism Snafu,REAL
Will the Comey bombshell really shake up the 2016 race?,REAL
"Rating Obama, 50% say he's been a success",REAL
"James Comey to be taken out, knows too much about Clintons",FAKE
"â€˜A noun, a verb and Donald Trumpâ€™: Rubio seeks to seize on Murphyâ€™s flaw",FAKE
The True Scandal of 2016 Was The Torture of Chelsea Manning     :,FAKE
OPEC sees oil prices exploding to $200 a barrel,REAL
"â€œCLINTON, INCâ€: WATCH HOWâ€™S IT PAINS MSM TO REPORT CLINTON CORRUPTION",FAKE
"United States v. Texas, the biggest immigration case in a century, explained",REAL
I dare you to restrain yourself from laughing at Trump and Hillary in a stronger hot show,FAKE
UFO Investigator - MAX SPIERS - Found Dead After Vomiting Black Liquid.,FAKE
Jewish Press Releases Audio Tape Exposing Hillary Clinton Plotting to Rig Election,FAKE
Clinton Campaign STUNNED As FBI Reportedly Reopens Probe Into Hillary Clinton Emails,FAKE
The Middle Eastâ€™s sick state,REAL
Physicists just found more hints of an elusive particle thatâ€™s its own antiparticle,FAKE
SHOCK: NSA Can Recover ALL of Hillaryâ€™s Deleted Emails,FAKE
White House Monitoring Iran Aid Ship to Yemen,REAL
Why Trump is still likely to fall 52 delegates short of nomination,REAL
"Trump, Sanders trade blame over Chicago protests",REAL
Electronic Voting Machines Caught Switching Trump Votes To Hillary: â€œTrying to Steal Texasâ€ | Survival,FAKE
Gas prices could drop toward $1 a gallon,REAL
"The Saber Rattling Between Saudis, Iran Just Got More Ominous",REAL
"India's Stonehenge: 7,000-Year-Old Megalithic Site is Oldest Observatory in South Asia",FAKE
Top US General Pleads With Troops Not To Revolt Over 2016,FAKE
Why Director Comey jumped at the chance to reopen Hillary investigation,FAKE
Poll: Obama popularity on the upswing,REAL
BLOOMBERG-BACKED PENNSYLVANIA ATTORNEY GENERAL SENTENCED TO 10-23 MONTHS IN PRISON,FAKE
Is A Birthday Surprise Coming For Hillary Criminalton? Kim Dotcoms Mysterious Tweet.,FAKE
Rachel Maddow made them fight: Sheâ€™s the reason for the tense Hillary/Bernie fireworks,REAL
Past cases suggest Hillary wonâ€™t be indicted,REAL
"U.S. Split Along Racial Lines on Backlash Against Police, Poll Finds",REAL
The media unload on Donald Trump,REAL
How To Reduce Stress,FAKE
Popular Health Exchange In Jeopardy After Surprise Republican Win,REAL
The First Space Photo Of Earth - Shot From A Third Reich Rocket In 1946,FAKE
Hillaryâ€™s No Slam Dunk in 2016,REAL
"Russia, India will expand military cooperation with focus on Navy projects | Russia & India Report",FAKE
"Make music great again, with these 10 Trumped up album covers",FAKE
CNN Talker Famous for Saying 'Pu***' on Air Lashes Out at Newt for Saying Megyn's 'Obsessed with Sex',FAKE
Senate GOP leaving tea party primary battles behind,REAL
Meet The Man Who Started The Illuminati,FAKE
Anti-Trump delegates now responsible for nominating him,REAL
Syriaâ€™s UN Envoy â€˜Appalledâ€™ By Rebel Attacks On Civilians In Aleppo,FAKE
Collusion Between Facebook and Hillaryâ€™s Campaign Revealed in Clinton Emails,FAKE
Pro-Obama super PAC shifts focus to possible Clinton 2016 bid,REAL
3 dead in Colorado Springs Planned Parenthood shooting,REAL
"Report from the Refugee Camp in Calais, France: â€œthe Jungleâ€",FAKE
Trump refuses to say whether he'll accept election results,REAL
Fiorina blames environmentalists for California drought,REAL
AG Lynch told FBI Director Comey NOT to go public with the new Clinton email investigation,FAKE
FBI reopens Clinton investigation as new emails found â€’ Comey,FAKE
Congress Knew For At Least Two Years About Pentagon Efforts To Take Back Bonuses From Veterans,FAKE
Guilty Verdict Returned In 'American Sniper' Murder Trial,REAL
"As Marco Rubio rises, GOP rivals are reluctant to take him on directly",REAL
Trump Will Skip GOP Debate As Feud With Fox News Boils Over,REAL
The Dark Agenda Behind Globalism And Open Borders,FAKE
Re: 22 Reasons Why Starting World War 3 In The Middle East Is A Really Bad Idea,FAKE
"Fifteen years after NATO bombings, Montenegro wants to join NATO",FAKE
"Parts Of Patriot Act Expire, Even As Senate Moves On Bill Limiting Surveillance",REAL
"US charges 61 with India-based scam involving 15,000 victims",FAKE
US: Kurdish Troops Will Be Involved in Invading ISIS Capital of Raqqa,FAKE
Kasich: Voters Are â€˜Starting to Pay Attentionâ€™,REAL
Michael Moore Owes Me $4.99,FAKE
"A ""Gesture of Thanks"": Turkey arrests terrorists for extradition to Russia",FAKE
President Obama really really really really hates Maureen Dowd,REAL
U.S. Congressional Delegation travels to Cuba this weekend,REAL
How Democrats killed Obama's college savings plan,REAL
Clinton Takes First Step To Dispel Doubts About Candidacy,REAL
Guardian Front Page: â€œA 16-Year-Old Migrant Criesâ€¦â€,FAKE
Restaurant Chain Tim Hortons Blocks Independent Journalistâ€™s Website on WiFi,FAKE
Why raising the Social Security retirement age really does hurt the poor the most,REAL
Afghanistan: 19 die in air attacks on hospital; U.S. investigating,REAL
Trump Makes Last-Minute Push To Appeal To Whites - The Onion - America's Finest News Source,FAKE
A new 9/11 memorial to Flight 93: â€˜Our loved ones left a legacy for all of usâ€™,REAL
Fact checking the fourth round of GOP debates,REAL
OnPolitics | 's politics blog,REAL
CLINTON CAMPAIGN COOPERATED WITH POLITICO ON â€˜DEMYSTIFYINGâ€™ HUMA ABEDIN,FAKE
What I Learned From Speaking to an R.N.C. Attendee From Every State,REAL
Zakharova: Kiev's talk of an armed OSCE mission is disinformation,FAKE
"Final votes on Patriot Act, trade deal bill set dramatic stage for Congressâ€™ return",REAL
Donâ€™t write Donald Trumpâ€™s political obituary just yet: Why surging Ben Carson looks like a flavor of the month,REAL
Manny Pacquiao's Son Dead? Report Says Jimuel Pacquiao Dies Of Asthm Complications - Morning News USA,FAKE
Hillary Clinton's Postapocalyptic Hellscape Plan??,FAKE
Carmel Institute celebrates 5th anniversary with jazz concert,FAKE
Trumpâ€™s Twitter Access Revoked - The Onion - America's Finest News Source,FAKE
Raise the wage: Paul Krugman shatters the myth that we canâ€™t afford to boost workersâ€™ pay,REAL
Obamaâ€™s Arctic Trip Comes as Climate Change Builds as 2016 Issue,REAL
YouTube censoring videos â€“ on censorship!,FAKE
Hillary Clinton should proactively set out ethics rules,REAL
Israel hawks to Pope Francis: Stay out of politics,REAL
"Budgeting the Good War, for 75 Years",FAKE
Will the anti-Clinton revolt among American elites gain momentum?,FAKE
American Funhouse: Manufacturing Consent,FAKE
Why Hillary Clinton Will Appoint Old World Nationalists to Cabinet Positions,FAKE
Hereâ€™s What Clinton and Trump Must Do on the Debate Stage to Win the Night,REAL
Both Clinton and Trump would bring a war-time posture to the White House,REAL
"The GOP debate fear cauldron: According to the Republican candidates, youâ€™re going to die",REAL
Clinton holds narrow lead over Trump on eve of conventions,REAL
Kevin McCarthy announces he's a candidate for House speaker (+video),REAL
A guide to the Paradoxroutine,FAKE
AT&T-Time Warner Merger: Another Media Consolidation That Puts Profits Over Consumers,FAKE
Fall of the House of Bush: How last name and Donald Trump doomed Jeb,REAL
Mitt Romney Fans Speculation Over Another White House Run,REAL
US Airstrike Kills Four Iraqi Troops Near Mosul,FAKE
"â€˜Tolerantâ€™ Liberals Show Nothing But Contempt, Hatred Toward Nationâ€™s Only Black Supreme Court Justice",FAKE
"Us vs Them: When Politics is Treated Like a Football Game, No One Wins",REAL
Manhunt shifts to lone cabin in upstate New York: Prisoner hideout?,REAL
Armed Dakota Access Contractor Accused Of Trying To Infiltrate Water Protectors,FAKE
18 State Swat Team Drill In Prep for Backlash Against a Stolen Election,FAKE
Michael Moore: Joe Blow Will Vote Trump As â€œUltimate Fâ€“â€“ You to the Eliteâ€¦ A Human Molotov Cocktailâ€,FAKE
"More Beer, Less Vodka as Russians Mull Ongoing Crisis - Rustem Falyakhov",FAKE
Stop the vendetta against Planned Parenthood,REAL
Understanding Propaganda - The Art Of Distraction And Disinformation,FAKE
Huffington Post Continues Campaigning for Hillary Clinton,FAKE
TRUNEWS 10/31/16 Dr. Lance Wallnau | Answered Prayer: The Cabal Crumbles,FAKE
Ted Cruz victory shows GOP's impossible conundrum (+video),REAL
A Tea Party Congressman Just Called For Armed Uprising If Trump Loses,FAKE
"US pullout from Yemen eases pressure on Al Qaeda, lawmakers warn",REAL
Obama trade bill in trouble,REAL
Secret Service testing ways to intercept rogue drones with late-night flights over Washington,REAL
Source: Baltimore mayor ordered police to stand down,REAL
MARKETWATCH LEFTIST: MSMâ€™s â€œBlatantâ€ Anti Trump Bias May Be Suicidal,FAKE
Jane Sanders to FBI: Get on with Clinton email probe,REAL
"Happy New Year, Wall Street: Congress Has Another Gift For You",REAL
"The Left Turns on Bob Dylan for His Pro-Israel Views, Refusal to Acknowledge Nobel Prize",FAKE
FACEBOOK Nazi Thought Police editors threaten to quit if Mark Zuckerberg doesnâ€™t ban Donald Trump for hate speech,FAKE
Rivals Slam Trump over Violent Rallies: 'He Incites Violence',REAL
Oklahoma Fraternity Is Closed Over Video Of Racist Chant,REAL
"Jeb Bush in 2016: The good, the bad and the ugly",REAL
A whirlwind day in D.C. showcases Trumpâ€™s unorthodox views and shifting tone,REAL
"Andrew Maguire â€“ Paper Gold Market Trades Jaw-Dropping 6,800 Tonnes In One Day!",FAKE
What A Hillary Presidency Would Bring,FAKE
Supreme Court Readies Blockbuster Rulings,REAL
This is What Will Happen to Mosul After ISIS is Evicted,FAKE
Mall of America to Close for First Time Ever on Thanksgiving,FAKE
Former Director Of National Budget Warns That Markets Will Tank After US Election,FAKE
Delete Your Account â€“ Episode 23: Donâ€™t Get Sick,FAKE
"CNN Reach New Low, Call Sheriff Clarke A â€˜Terroristâ€™ After Trump Gave Him The Most Important Job! | EndingFed News Network",FAKE
(((Smithsonian))) Refuses to Include Judge in Black Museum Because He has Normal People Opinions,FAKE
Iran Nuclear Deal: Does Obama want Israel to commit suicide?,REAL
"Syrian War Report â€“ November 7, 2016: Russian Attack Helicopters Swarm in Homs Province | The Vineyard of the Saker",FAKE
Bernie's swan song begins,REAL
Would Trump presidency threaten rule of law?,REAL
Google And God,FAKE
Bernie Sanders Says What The Media Wonâ€™t: Trump Is A Gutless Political Coward,FAKE
Sanders delegates' convention agenda,REAL
Is it necessary to break the law to improve your standard of living?,FAKE
Paris climate summit: What to expect from historic talks,REAL
"Trump doctorâ€™s letter: He takes cholesterol drug, is overweight but is in â€˜excellentâ€™ health",REAL
Game changer? Trump supporter charged in voter fraud case,FAKE
"Supreme Court: your right to a ""speedy trial"" ends when you're declared guilty",REAL
We told you so! The Zika virus is harmless,FAKE
Debating the Future of American Power Abroad,REAL
Sesame Seeds for Knee Osteoarthritis,FAKE
Now We Can Finally Get to Work,FAKE
Trick-Or-Treaters Get Their Socks Rocked By BADASS Hillary Pumpkin Outside,FAKE
Amurexit from NAFTA TPP Wall Street and Global Policeman,FAKE
Islamic State accepts Boko Haram allegiance pledge,REAL
Wife of Muslim jihadist who killed and wounded over 100 in Orlando nightclub massacre says she â€œknew nothingâ€,FAKE
Farming Invented Many Times by Many Different Farmers Over A Vast Landscape. @CarlZimmer. @NYTimes. - Russia News Now,FAKE
Netanyahu warns Iran deal could 'threaten the survival' of Israel,REAL
Why Comey Reopened the Hillary Investigation,FAKE
Hillary: Leaked Audio of Her Discussing Rigging an Election in Palestine,FAKE
"After Brussels, Trump's 'strength' resonates with GOP voters (+video)",REAL
The Intercept Outs Neocon Democratâ€™s Smear Against Trump as â€˜Putinâ€™s Puppetâ€™ - Eric Zuesse,FAKE
"Done Deal? Clinton, Trump Shift to General Election after Big Wins",REAL
What Youâ€™re Not Told: 90% Of American Media Is Controlled By Six Corporations,FAKE
"Steve Quayle On Economic Collapse, World War 3 and U S elections",FAKE
What Brian Williamsâ€™s Chopper Whopper Says About Modern News Media,REAL
"Republicans have little reason to act on immigration â€” both today, but also before the 2016 primaries",REAL
We donâ€™t just need to see Trumpâ€™s taxes â€” we need a real medical report on him,REAL
Police morale can wait: How the Baltimore riots should reshape Attorney General Loretta Lynchâ€™s agenda,REAL
The Militarized Police at Standing Rock is Working for This Man,FAKE
Bundy Ranch occupiers acquitted on all counts after challenging the corrupt Bureau of Land Management,FAKE
The Truth About Atlantis [Video],FAKE
Major Corporate Sponsors Are Scaling Back Support for GOP Convention,REAL
Admit it: You love Tax Day! (Opinion),REAL
Western QLD Drovers Show Solidarity With C.U.B Workers By Only Drinking Sauv Blanc â€“ The Betoota Advocate,FAKE
CNBC Just Confirmed Comey Is Abusing His Power To Help Trump,FAKE
JASON CHAFFETZ EXPOSED HILLARY CLINTONâ€™S PLAN TO BRIBE FBI AGENTS TO LET HER GO,FAKE
Obama On Baltimore: 'This Is Not New',REAL
US Not Ruling Out Daesh Involvement in Afghanistan Offensive,FAKE
The United States Is Pre-Positioning â€œEnemy Assetsâ€ In Preparation For A Rigged Election,FAKE
Booze Brands Polarize Just Like Politicians,REAL
Why Greece and Iran seem willing to take on the world (+video),REAL
Comment on â€œThis is My Second Oneâ€ â€” Virginia Cop Caught Bragging About Killing Two Unarmed People by Jamieson,FAKE
"Hillary Clinton Promises Steady Leadership, More Jobs in Historic Speech",REAL
News: Election Night Disaster: John King Tapped His Electoral College Map Too Hard And Fell Headfirst Into A Digital Hellscape,FAKE
CLINTON EMAIL INVESTIGATION HAS SHIFTED THE POLLS SIGNIFICANTLY IN TRUMPâ€™S FAVOR,FAKE
"People Power! Natives declare treaty rights, police admit defeat - cite lack of 'manpower' to remove DAPL protesters",FAKE
Obama: U.S. cannot solve the world's problems alone,REAL
How hackers eroded Americans' trust in democratic process,REAL
Boy With Autism Makes His First Friend Ever And His Mom Canâ€™t Stop Crying,FAKE
Julian Assange October Surprise REVEALED,FAKE
First Contact Film Trailer,FAKE
370 Economists Sign Letter Urging America Not To Vote For Donald Trump,FAKE
"Here come the jobs, finally",REAL
What Walker's Departure Means for GOP Field,REAL
Julian Assange Ends The Suspense: â€œThe Source Of Hacked Emails Is Not Russiaâ€,FAKE
Dem Operative Who Oversaw Trump Rally Agitators Visited White House 342 Times,REAL
TRUMP TSUNAMI INCOMING: What Trump Did In Florida Today Will Make Him President!,FAKE
Trumpâ€™s Star Vandalized On Hollywood Walk Of Fame - The Onion - America's Finest News Source,FAKE
Obamaâ€™s trip to Ethiopia alarms some human rights activists,REAL
Nearly All Wild Animals Face Mass Extinction By 2020,FAKE
Illegal Immigrants Could Elect Hillary,REAL
15 Foods That Contain the Most Vitamin E | Alternative,FAKE
TREY GOWDY: â€œWHAT IN THE WORD IS LORETTA LYNCH DOING TALKING TO COMEYâ€,FAKE
The Northern Sea Route: New Prospects for the Pacific Rim | New Eastern Outlook,FAKE
Cruz campaign: We could have stopped Trump if Rubio became running mate,REAL
FREE Summit from Health Experts Teaches About Healthy Fats to Reverse Disease and Lose Weight,FAKE
Kentucky governor: Electing Hillary Clinton may eventually lead to violence,REAL
Contaminated Food from China Now Entering the U.S. Under the 'Organic' Label,FAKE
Forget Wikileaks...this is the real October Surprise that is going to stop Hillary,FAKE
Donald Trump: The next President of the United States of America,FAKE
14 Days and Counting-There Will Be a Civil War No Matter Who Wins the Election,FAKE
Internet Is On Fire With Speculation That Podesta Emails Contain Code for Child Sex,FAKE
Inside Jeb's 'shock and awe' launch,REAL
Southern Poverty Law Center Targets Anti-Jihad Crusaders (Ann Corcoran Honored!),FAKE
Babylon Mystery Religion Series,FAKE
Relief efforts to find survivors intensify amid powerful aftershocks,REAL
The early 2016 primary calendar is now set. It will change.,REAL
Trump: I wouldn't accept Cruz's endorsement,REAL
Confirmed: Public overwhelmingly (10-to-1) says media want Hillary to win,FAKE
"Mitt Romney Calls Donald Trump 'A Phony, A Fraud'; Trump Hits Back",REAL
"In Jamaica, Obama indicates that he will remove Cuba from terrorism list",REAL
Turkey Rounds Up Erdoganâ€™s Political Opponents as Crackdown Widens,FAKE
Trump controlled by Mossad,FAKE
THE POLLS CAN NO LONGER BE RIGGED THIS ELECTION,FAKE
New Lunar Craters Mystery | Space News,FAKE
Cruz's immigration gambit,REAL
Donald Trump Wins The Presidency In Historic Victory,FAKE
Trump slams GOP nominating process as top aide accuses Cruz of 'gestapo tactics' to win delegates,REAL
Battle for the Ages,FAKE
Discrimination and Condemnation: Australiaâ€™s War on Boat People,FAKE
